#Photon    Photoel. Tot. w/  
#Energy    Absorb.  Coherent 
#
1.000E-03 1.988E+03 1.989E+03 
1.500E-03 6.292E+02 6.301E+02 
2.000E-03 2.714E+02 2.722E+02 
3.000E-03 8.064E+01 8.129E+01 
4.000E-03 3.350E+01 3.403E+01 
5.000E-03 1.678E+01 1.723E+01 
6.000E-03 9.485E+00 9.885E+00 
8.000E-03 3.815E+00 4.155E+00 
1.000E-02 1.867E+00 2.173E+00 
1.500E-02 5.024E-01 7.641E-01 
2.000E-02 1.958E-01 4.347E-01 
3.000E-02 5.132E-02 2.663E-01 
4.000E-02 1.973E-02 2.215E-01 
5.000E-02 9.376E-03 2.020E-01 
6.000E-02 5.101E-03 1.905E-01 
8.000E-02 1.951E-03 1.759E-01 
1.000E-01 9.277E-04 1.658E-01 
1.500E-01 2.434E-04 1.478E-01 
2.000E-01 9.565E-05 1.350E-01 
3.000E-01 2.681E-05 1.172E-01 
4.000E-01 1.144E-05 1.049E-01 
5.000E-01 6.151E-06 9.578E-02 
6.000E-01 3.825E-06 8.856E-02 
8.000E-01 1.929E-06 7.777E-02 
1.000E+00 1.199E-06 6.992E-02 
1.022E+00 1.106E-06 6.920E-02 
1.250E+00 7.509E-07 6.254E-02 
1.500E+00 5.452E-07 5.691E-02 
2.000E+00 3.441E-07 4.878E-02 
2.044E+00 3.330E-07 4.821E-02 
2.100E+00 3.198E-07 4.750E-02 
2.200E+00 2.984E-07 4.631E-02 
2.300E+00 2.797E-07 4.520E-02 
2.400E+00 2.631E-07 4.415E-02 
2.500E+00 2.482E-07 4.316E-02 
3.000E+00 1.931E-07 3.901E-02 
4.000E+00 1.329E-07 3.325E-02 
5.000E+00 1.010E-07 2.944E-02 
6.000E+00 8.127E-08 2.673E-02 
7.000E+00 6.796E-08 2.471E-02 
8.000E+00 5.836E-08 2.315E-02 
9.000E+00 5.114E-08 2.191E-02 
1.000E+01 4.550E-08 2.090E-02 
1.100E+01 4.095E-08 2.007E-02 
1.200E+01 3.724E-08 1.937E-02 
1.300E+01 3.414E-08 1.877E-02 
1.400E+01 3.152E-08 1.827E-02 
1.500E+01 2.927E-08 1.783E-02 
1.600E+01 2.732E-08 1.745E-02 
1.800E+01 2.410E-08 1.682E-02 
2.000E+01 2.157E-08 1.633E-02 
2.200E+01 1.951E-08 1.595E-02 
2.400E+01 1.781E-08 1.564E-02 
2.600E+01 1.638E-08 1.538E-02 
2.800E+01 1.517E-08 1.517E-02 
3.000E+01 1.412E-08 1.500E-02 
4.000E+01 1.049E-08 1.447E-02 
5.000E+01 8.348E-09 1.425E-02 
6.000E+01 6.932E-09 1.417E-02 
8.000E+01 5.177E-09 1.419E-02 
1.000E+02 4.129E-09 1.430E-02 
1.500E+02 2.742E-09 1.465E-02 
2.000E+02 2.053E-09 1.495E-02 
3.000E+02 1.366E-09 1.540E-02 
4.000E+02 1.024E-09 1.570E-02 
5.000E+02 8.185E-10 1.592E-02 
6.000E+02 6.819E-10 1.609E-02 
8.000E+02 5.110E-10 1.632E-02 
1.000E+03 4.088E-10 1.648E-02 
1.500E+03 2.724E-10 1.672E-02 
2.000E+03 2.043E-10 1.686E-02 
3.000E+03 1.362E-10 1.702E-02 
4.000E+03 1.021E-10 1.711E-02 
5.000E+03 8.167E-11 1.717E-02 
6.000E+03 6.805E-11 1.720E-02 
8.000E+03 5.105E-11 1.726E-02 
1.000E+04 4.084E-11 1.729E-02 
1.500E+04 2.723E-11 1.734E-02 
2.000E+04 2.042E-11 1.736E-02 
3.000E+04 1.361E-11 1.739E-02 
4.000E+04 1.021E-11 1.741E-02 
5.000E+04 8.167E-12 1.741E-02 
6.000E+04 6.805E-12 1.742E-02 
8.000E+04 5.105E-12 1.743E-02 
1.000E+05 4.084E-12 1.744E-02 
