#Photon    Photoel. Tot. w/  
#Energy    Absorb.  Coherent 
#
1.000E+00 4.335E-03 5.785E-02 
1.022E+00 4.126E-03 5.703E-02 
1.250E+00 2.782E-03 5.052E-02 
1.500E+00 1.991E-03 4.594E-02 
2.000E+00 1.211E-03 4.078E-02 
2.044E+00 1.169E-03 4.048E-02 
2.100E+00 1.118E-03 4.012E-02 
2.200E+00 1.037E-03 3.955E-02 
2.300E+00 9.659E-04 3.904E-02 
2.400E+00 9.030E-04 3.859E-02 
2.500E+00 8.472E-04 3.819E-02 
2.600E+00 7.973E-04 3.784E-02 
3.000E+00 6.422E-04 3.681E-02 
4.000E+00 4.250E-04 3.577E-02 
5.000E+00 3.142E-04 3.583E-02 
6.000E+00 2.478E-04 3.634E-02 
7.000E+00 2.040E-04 3.709E-02 
8.000E+00 1.731E-04 3.797E-02 
9.000E+00 1.501E-04 3.891E-02 
1.000E+01 1.324E-04 3.987E-02 
